                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8604,                 3.7755,                 1.7021,                0.00516,                    0.5,                0.03483,                0.01915,                 1.3785,                 3.7216,                 1.6696,              2.858e-05,              2.858e-05,              2.858e-05
                      2,                  1.466,                 3.5259,                 1.5267,                0.00606,                0.55556,                0.07842,                0.05097,                 1.1991,                 3.5372,                 1.4585,             7.0743e-05,             7.0743e-05,             7.0743e-05
                      3,                 1.4142,                 3.4301,                 1.4384,                0.00678,                0.62222,                0.32054,                0.21986,                 1.0643,                 3.4483,                 1.2421,             0.00011206,             0.00011206,             0.00011206
                      4,                 1.2258,                 3.0324,                 1.3262,                0.00918,                0.81111,                0.29845,                0.23066,                 1.1342,                 3.3547,                  1.231,             0.00015252,             0.00015252,             0.00015252
                      5,                 1.2594,                 2.7159,                  1.281,                0.00911,                0.81111,                0.26776,                 0.1968,                 1.1884,                 3.2068,                 1.2674,             0.00019214,             0.00019214,             0.00019214
                      6,                 1.4007,                 2.4065,                 1.2077,                0.00991,                0.86667,                0.27046,                0.18771,                 1.1758,                 3.1197,                 1.3049,              0.0002309,              0.0002309,              0.0002309
                      7,                 1.1322,                 2.0347,                 1.2669,                0.01073,                0.93333,                 0.3694,                0.21749,                 1.2587,                 2.9852,                 1.4312,             0.00026882,             0.00026882,             0.00026882
                      8,                  1.129,                 1.7332,                 1.1767,                0.56568,                0.13136,                0.33486,                0.20997,                 1.3196,                 2.8887,                 1.4902,             0.00030589,             0.00030589,             0.00030589
                      9,                 1.1864,                 1.7529,                 1.1844,                0.68547,                0.38743,                0.44516,                0.26045,                 1.4075,                 2.7169,                 1.5632,             0.00034211,             0.00034211,             0.00034211
                     10,                 1.2224,                 1.5995,                 1.2127,                0.67588,                0.44444,                0.45311,                0.25849,                 1.4723,                 2.6657,                 1.5684,             0.00037749,             0.00037749,             0.00037749
                     11,                 1.0268,                 1.3767,                 1.1082,                0.59527,                0.33333,                0.45103,                0.29559,                  1.639,                 2.4577,                 1.8294,             0.00041201,             0.00041201,             0.00041201
